n,d,Q,R,sspl_lb,ginitr,sorted,sinitr,test,n_graph,n_edge,n_state,time
4,3,1,0,12,basic,basic,basic,1,1,3,5,7.7e-05
6,3,1,2,42,basic,basic,basic,1,2,10,50,0.004887
10,3,2,0,150,basic,basic,basic,1,1,15,23,0.00094
8,3,1,4,88,basic,basic,basic,1,2,21,287,0.197941
12,3,2,2,252,basic,basic,basic,1,2,28,233,0.099612
5,4,1,0,20,basic,basic,basic,1,1,6,11,0.000226
6,4,1,1,36,basic,basic,basic,1,1,10,37,0.001585
7,4,1,2,56,basic,basic,basic,1,2,15,127,0.045784
8,4,1,3,80,basic,basic,basic,1,6,21,491,0.25425
14,3,2,4,378,basic,basic,basic,1,7,45,2144,1.74695
9,4,1,4,108,basic,basic,basic,1,16,28,1929,1.96605
10,4,1,5,140,basic,basic,basic,1,24,36,8602,38.1366
4,3,1,0,12,cycle,basic,basic,1,1,3,5,0.000122
6,3,1,2,42,cycle,basic,basic,1,2,8,29,0.001385
8,3,1,4,88,cycle,basic,basic,1,2,19,191,0.070403
10,3,2,0,150,cycle,basic,basic,1,1,15,23,0.00041
12,3,2,2,252,cycle,basic,basic,1,2,26,281,0.056863
14,3,2,4,378,cycle,basic,basic,1,7,43,2408,1.94073
16,3,2,6,528,basic,basic,basic,1,6,66,19482,114.397
16,3,2,6,528,cycle,basic,basic,1,6,64,18659,103.579
5,4,1,0,20,cycle,basic,basic,1,1,6,11,0.000185
6,4,1,1,36,cycle,basic,basic,1,1,8,27,0.000742
7,4,1,2,56,cycle,basic,basic,1,2,13,130,0.032243
8,4,1,3,80,cycle,basic,basic,1,6,19,568,0.315164
9,4,1,4,108,cycle,basic,basic,1,16,26,2130,2.59049
10,4,1,5,140,cycle,basic,basic,1,24,34,8853,39.9719
11,4,1,6,176,basic,basic,basic,1,37,45,46251,1083.49
4,3,1,0,12,stree,basic,basic,1,1,3,5,9.7e-05
6,3,1,2,42,stree,basic,basic,1,2,8,31,0.000962
8,3,1,4,88,stree,basic,basic,1,2,13,80,0.006527
10,3,2,0,150,stree,basic,basic,1,1,15,25,0.000353
12,3,2,2,252,stree,basic,basic,1,2,26,353,0.216072
14,3,2,4,378,stree,basic,basic,1,7,41,2198,1.40025
16,3,2,6,528,stree,basic,basic,1,6,60,5353,9.21649
11,4,1,6,176,cycle,basic,basic,1,37,43,44095,950.528
5,4,1,0,20,stree,basic,basic,1,1,6,11,0.000231
6,4,1,1,36,stree,basic,basic,1,1,9,23,0.000535
7,4,1,2,56,stree,basic,basic,1,2,13,115,0.01029
8,4,1,3,80,stree,basic,basic,1,6,18,427,0.202916
9,4,1,4,108,stree,basic,basic,1,16,24,1149,0.834922
10,4,1,5,140,stree,basic,basic,1,24,31,4715,12.6711
11,4,1,6,176,stree,basic,basic,1,37,39,22199,274.075
4,3,1,0,12,cycle,sorted,basic,1,1,3,5,7.9e-05
6,3,1,2,42,cycle,sorted,basic,1,2,8,30,0.001349
8,3,1,4,88,cycle,sorted,basic,1,2,19,161,0.046943
10,3,2,0,150,cycle,sorted,basic,1,1,15,23,0.00039
12,3,2,2,252,cycle,sorted,basic,1,2,26,217,0.030579
14,3,2,4,378,cycle,sorted,basic,1,7,43,2492,2.33385
16,3,2,6,528,cycle,sorted,basic,1,6,64,23210,162.392
18,3,2,8,702,stree,basic,basic,1,1,62,40699,584.983
5,4,1,0,20,cycle,sorted,basic,1,1,6,11,0.000191
6,4,1,1,36,cycle,sorted,basic,1,1,8,15,0.000311
7,4,1,2,56,cycle,sorted,basic,1,2,13,94,0.008867
8,4,1,3,80,cycle,sorted,basic,1,6,19,499,0.381031
9,4,1,4,108,cycle,sorted,basic,1,16,26,1916,2.54711
10,4,1,5,140,cycle,sorted,basic,1,24,34,8536,42.1931
11,4,1,6,176,cycle,sorted,basic,1,37,43,44518,1065.67
18,3,2,8,702,cycle,basic,basic,1,1,89,203212,13007.7
18,3,2,8,702,basic,basic,basic,1,1,91,229290,16097.4
18,3,2,8,702,cycle,sorted,basic,1,1,89,302871,27607.7
