n,d,Q,R,sspl_lb,ginitr,sorted,sinitr,n_graph,sspl_max,sspl_min,n_edge,n_state,time
4,3,1,0,12,basic,basic,basic,1,12,12,3,5,9e-05
6,3,1,2,42,basic,basic,basic,7,42,42,10,135,0.000374
10,3,2,0,150,basic,basic,basic,4,150,150,15,75,0.000553
12,3,2,2,252,basic,basic,basic,136,252,252,28,5908,0.117528
8,3,1,4,88,basic,basic,basic,168,88,88,21,9953,0.109426
5,4,1,0,20,basic,basic,basic,1,20,20,6,12,0.0001
6,4,1,1,36,basic,basic,basic,3,36,36,10,90,0.002842
7,4,1,2,56,basic,basic,basic,31,56,56,15,1109,0.003108
8,4,1,3,80,basic,basic,basic,553,80,80,21,18867,0.141583
9,4,1,4,108,basic,basic,basic,14634,108,108,28,431202,1.43573
14,3,2,4,378,basic,basic,basic,21360,378,378,45,1295639,4.66454
4,3,1,0,12,basic,basic,matrix,1,12,12,3,4,3.6e-05
6,3,1,2,42,basic,basic,matrix,7,42,42,10,123,0.000727
8,3,1,4,88,basic,basic,matrix,168,88,88,21,2881,0.070562
10,3,2,0,150,basic,basic,matrix,4,150,150,15,54,0.000624
12,3,2,2,252,basic,basic,matrix,136,252,252,28,5824,0.264606
14,3,2,4,378,basic,basic,matrix,21360,378,378,45,916423,17.1109
10,4,1,5,140,basic,basic,basic,241470,140,140,36,13464365,41.7625
5,4,1,0,20,basic,basic,matrix,1,20,20,6,7,4.8e-05
6,4,1,1,36,basic,basic,matrix,3,36,36,10,90,0.000546
7,4,1,2,56,basic,basic,matrix,31,56,56,15,1076,0.008178
8,4,1,3,80,basic,basic,matrix,553,80,80,21,15864,0.195567
9,4,1,4,108,basic,basic,matrix,14634,108,108,28,279686,2.47542
10,4,1,5,140,basic,basic,matrix,241470,140,140,36,5275295,54.2927
11,4,1,6,176,basic,basic,matrix,2275080,176,176,45,89125837,1018.17
4,3,1,0,12,basic,basic,minmax,1,12,12,3,4,0.000108
6,3,1,2,42,basic,basic,minmax,7,42,42,10,123,0.000912
8,3,1,4,88,basic,basic,minmax,168,88,88,21,2881,0.045553
10,3,2,0,150,basic,basic,minmax,4,150,150,15,54,0.00071
12,3,2,2,252,basic,basic,minmax,136,252,252,28,5824,0.154604
14,3,2,4,378,basic,basic,minmax,21360,378,378,45,916423,14.9778
11,4,1,6,176,basic,basic,basic,2275080,176,176,45,574540912,1887.36
5,4,1,0,20,basic,basic,minmax,1,20,20,6,7,8.2e-05
6,4,1,1,36,basic,basic,minmax,3,36,36,10,90,0.000669
7,4,1,2,56,basic,basic,minmax,31,56,56,15,1076,0.011199
8,4,1,3,80,basic,basic,minmax,553,80,80,21,15864,0.28386
9,4,1,4,108,basic,basic,minmax,14634,108,108,28,279686,3.12312
10,4,1,5,140,basic,basic,minmax,241470,140,140,36,5275295,65.1887
16,3,2,6,528,basic,basic,basic,1013760,528,528,66,588843932,2363.94
4,3,1,0,12,cycle,basic,basic,1,12,12,3,5,4.3e-05
6,3,1,2,42,cycle,basic,basic,3,42,42,8,38,0.00014
8,3,1,4,88,cycle,basic,basic,24,88,88,19,1382,0.003647
10,3,2,0,150,cycle,basic,basic,4,150,150,15,75,0.000273
12,3,2,2,252,cycle,basic,basic,22,252,252,26,799,0.002703
14,3,2,4,378,cycle,basic,basic,1728,378,378,43,93536,0.421161
16,3,2,6,528,cycle,basic,basic,50400,528,528,64,25158813,93.8858
5,4,1,0,20,cycle,basic,basic,1,20,20,6,12,9e-05
6,4,1,1,36,cycle,basic,basic,3,36,36,8,40,0.000176
7,4,1,2,56,cycle,basic,basic,17,56,56,13,370,0.00117
8,4,1,3,80,cycle,basic,basic,175,80,80,19,5167,0.023275
9,4,1,4,108,cycle,basic,basic,3000,108,108,26,97477,0.404137
10,4,1,5,140,cycle,basic,basic,36966,140,140,34,2307042,7.232
16,3,2,6,528,basic,basic,matrix,1013760,528,528,66,109823592,2458.38
4,3,1,0,12,cycle,basic,matrix,1,12,12,3,4,2.9e-05
6,3,1,2,42,cycle,basic,matrix,3,42,42,8,37,0.000254
8,3,1,4,88,cycle,basic,matrix,24,88,88,19,416,0.003227
10,3,2,0,150,cycle,basic,matrix,4,150,150,15,54,0.00061
12,3,2,2,252,cycle,basic,matrix,22,252,252,26,797,0.024396
14,3,2,4,378,cycle,basic,matrix,1728,378,378,43,69119,1.42721
16,3,2,6,528,cycle,basic,matrix,50400,528,528,64,4818153,111.942
5,4,1,0,20,cycle,basic,matrix,1,20,20,6,7,5e-05
6,4,1,1,36,cycle,basic,matrix,3,36,36,8,40,0.000255
7,4,1,2,56,cycle,basic,matrix,17,56,56,13,366,0.002346
8,4,1,3,80,cycle,basic,matrix,175,80,80,19,4459,0.055339
9,4,1,4,108,cycle,basic,matrix,3000,108,108,26,62588,0.660172
10,4,1,5,140,cycle,basic,matrix,36966,140,140,34,849497,9.05844
11,4,1,6,176,cycle,basic,basic,265560,176,176,43,71203623,238.255
4,3,1,0,12,cycle,basic,minmax,1,12,12,3,4,5.1e-05
6,3,1,2,42,cycle,basic,minmax,3,42,42,8,37,0.000327
8,3,1,4,88,cycle,basic,minmax,24,88,88,19,416,0.004457
10,3,2,0,150,cycle,basic,minmax,4,150,150,15,54,0.000738
12,3,2,2,252,cycle,basic,minmax,22,252,252,26,797,0.013338
14,3,2,4,378,cycle,basic,minmax,1728,378,378,43,69119,1.40162
11,4,1,6,176,cycle,basic,matrix,265560,176,176,43,9732339,111.685
5,4,1,0,20,cycle,basic,minmax,1,20,20,6,7,8.9e-05
6,4,1,1,36,cycle,basic,minmax,3,36,36,8,40,0.000329
7,4,1,2,56,cycle,basic,minmax,17,56,56,13,366,0.003205
8,4,1,3,80,cycle,basic,minmax,175,80,80,19,4459,0.207414
9,4,1,4,108,cycle,basic,minmax,3000,108,108,26,62588,0.821236
10,4,1,5,140,cycle,basic,minmax,36966,140,140,34,849497,11.0415
16,3,2,6,528,cycle,basic,minmax,50400,528,528,64,4818153,109.128
4,3,1,0,12,stree,basic,basic,1,12,12,3,5,5.4e-05
6,3,1,2,42,stree,basic,basic,4,42,42,8,39,0.000235
8,3,1,4,88,stree,basic,basic,11,88,88,13,210,0.000684
10,3,2,0,150,stree,basic,basic,4,150,150,15,93,0.000342
12,3,2,2,252,stree,basic,basic,24,252,252,26,1132,0.003704
14,3,2,4,378,stree,basic,basic,340,378,378,41,12855,0.069532
16,3,2,6,528,stree,basic,basic,1264,528,528,60,209510,0.874317
5,4,1,0,20,stree,basic,basic,1,20,20,6,12,8.2e-05
6,4,1,1,36,stree,basic,basic,3,36,36,9,61,0.000223
7,4,1,2,56,stree,basic,basic,19,56,56,13,372,0.001134
8,4,1,3,80,stree,basic,basic,148,80,80,18,2700,0.008184
9,4,1,4,108,stree,basic,basic,1311,108,108,24,23069,0.14097
10,4,1,5,140,stree,basic,basic,6021,140,140,31,177294,0.701103
11,4,1,6,176,stree,basic,basic,15102,176,176,39,1495258,4.8416
4,3,1,0,12,stree,basic,matrix,1,12,12,3,4,4.3e-05
6,3,1,2,42,stree,basic,matrix,4,42,42,8,39,0.000225
8,3,1,4,88,stree,basic,matrix,11,88,88,13,156,0.001872
10,3,2,0,150,stree,basic,matrix,4,150,150,15,67,0.000785
12,3,2,2,252,stree,basic,matrix,24,252,252,26,1132,0.021811
14,3,2,4,378,stree,basic,matrix,340,378,378,41,11944,0.313025
16,3,2,6,528,stree,basic,matrix,1264,528,528,60,110917,2.59948
5,4,1,0,20,stree,basic,matrix,1,20,20,6,7,6e-05
6,4,1,1,36,stree,basic,matrix,3,36,36,9,61,0.000367
7,4,1,2,56,stree,basic,matrix,19,56,56,13,372,0.002238
8,4,1,3,80,stree,basic,matrix,148,80,80,18,2645,0.032538
9,4,1,4,108,stree,basic,matrix,1311,108,108,24,21384,0.264864
10,4,1,5,140,stree,basic,matrix,6021,140,140,31,129492,1.40602
11,4,1,6,176,stree,basic,matrix,15102,176,176,39,637528,7.18651
4,3,1,0,12,stree,basic,minmax,1,12,12,3,4,6.3e-05
6,3,1,2,42,stree,basic,minmax,4,42,42,8,39,0.000348
8,3,1,4,88,stree,basic,minmax,11,88,88,13,156,0.001539
10,3,2,0,150,stree,basic,minmax,4,150,150,15,67,0.001024
12,3,2,2,252,stree,basic,minmax,24,252,252,26,1132,0.022736
14,3,2,4,378,stree,basic,minmax,340,378,378,41,11944,0.28473
16,3,2,6,528,stree,basic,minmax,1264,528,528,60,110917,2.32656
5,4,1,0,20,stree,basic,minmax,1,20,20,6,7,0.000138
6,4,1,1,36,stree,basic,minmax,3,36,36,9,61,0.000469
7,4,1,2,56,stree,basic,minmax,19,56,56,13,372,0.003577
8,4,1,3,80,stree,basic,minmax,148,80,80,18,2645,0.032503
9,4,1,4,108,stree,basic,minmax,1311,108,108,24,21384,0.380853
10,4,1,5,140,stree,basic,minmax,6021,140,140,31,129492,1.79234
11,4,1,6,176,stree,basic,minmax,15102,176,176,39,637528,9.17259
4,3,1,0,12,cycle,sorted,basic,1,12,12,3,5,4.3e-05
6,3,1,2,42,cycle,sorted,basic,3,42,42,8,42,0.000159
