n,d,Q,R,sspl_lb,alg,sspl,edge,node,time
4,3,1,0,12,minmax,12,3,4,0.000054
6,3,1,2,42,minmax,42,8,9,0.000181
8,3,1,4,88,minmax,88,13,15,0.000159
10,3,2,0,150,minmax,150,15,16,0.000407
12,3,2,2,252,minmax,252,26,27,0.00042
14,3,2,4,378,minmax,378,41,51,0.000756
16,3,2,6,528,minmax,528,60,69,0.001212
18,3,2,8,702,minmax,702,62,100,0.002139
20,3,2,10,900,minmax,900,64,147,0.00337
24,3,3,2,1416,minmax,1416,89,830,0.063298
22,3,3,0,1122,minmax,0,66,12195,0.377464
28,3,3,6,2100,minmax,2100,147,10575,0.404209
5,4,1,0,20,minmax,20,6,7,0.000078
6,4,1,1,36,minmax,36,9,23,0.000197
7,4,1,2,56,minmax,56,13,45,0.00035
8,4,1,3,80,minmax,80,18,19,0.000213
9,4,1,4,108,minmax,108,24,32,0.000355
10,4,1,5,140,minmax,140,31,38,0.000452
11,4,1,6,176,minmax,176,39,63,0.000816
12,4,1,7,216,minmax,216,48,88,0.00118
13,4,1,8,260,minmax,260,58,128,0.001836
14,4,1,9,308,minmax,308,60,245441,4.06636
15,4,1,10,360,minmax,360,62,606,0.024175
26,3,3,4,1742,minmax,1742,116,234299,7.25497
17,4,2,0,476,minmax,0,66,13502,0.353246
16,4,1,11,416,minmax,0,64,626551,14.0843
19,4,2,2,646,minmax,646,89,100,0.002432
20,4,2,3,740,minmax,740,102,125067,2.96266
21,4,2,4,840,minmax,840,116,90043,2.06891
22,4,2,5,946,minmax,946,131,899,0.065377
23,4,2,6,1058,minmax,1058,147,209,0.006923
24,4,2,7,1176,minmax,1176,164,240,0.007484
25,4,2,8,1300,minmax,1300,182,1035,0.044088
26,4,2,9,1430,minmax,1430,201,1492,0.073216
27,4,2,10,1566,minmax,1566,221,1491,0.109953
28,4,2,11,1708,minmax,1708,242,4382,0.209798
29,4,2,12,1856,minmax,1856,264,13969,0.634247
6,5,1,0,30,minmax,30,10,11,0.000122
8,5,1,2,72,minmax,72,19,224,0.001765
10,5,1,4,130,minmax,130,32,33,0.000458
12,5,1,6,204,minmax,204,49,77,0.001094
14,5,1,8,294,minmax,294,70,108,0.001852
16,5,1,10,400,minmax,400,95,307,0.006533
18,5,1,12,522,minmax,522,124,23041,0.617278
18,4,2,1,558,minmax,0,77,1329149,29.3478
22,5,1,16,814,minmax,814,178,403385,12.2085
24,5,1,18,984,minmax,984,184,91941,3.53789
20,5,1,14,660,minmax,660,157,155141495,4214.47
26,5,2,0,1170,minmax,0,190,424754028,19405.8
32,3,3,10,2912,minmax,2912,221,99783,4.27929
30,4,2,13,2010,minmax,2010,287,8162,0.390584
30,3,3,8,2490,minmax,2490,182,249621,9.30576
32,4,2,15,2336,minmax,2336,336,14046,0.773253
31,4,2,14,2170,minmax,2170,311,777973,33.8555
33,4,2,16,2508,minmax,2508,362,10494569,531.089
34,3,3,12,3366,minmax,3366,264,32524382,1547.1
34,4,2,17,2686,minmax,2686,389,135541325,7443.19
