n,d,Q,R,sspl_lb,ginitr,sorted,sinitr,n_graph,sspl_max,sspl_min,n_edge,n_state,time
4,3,1,0,12,basic,basic,basic,1,12,12,3,5,0.000114
6,3,1,2,42,basic,basic,basic,7,42,42,10,135,0.000981
10,3,2,0,150,basic,basic,basic,4,150,150,15,75,0.000441
8,3,1,4,88,basic,basic,basic,168,88,88,21,9953,0.059861
5,4,1,0,20,basic,basic,basic,1,20,20,6,12,0.000122
12,3,2,2,252,basic,basic,basic,136,252,252,28,5908,0.037093
6,4,1,1,36,basic,basic,basic,3,36,36,10,90,0.009662
7,4,1,2,56,basic,basic,basic,31,56,56,15,1109,0.003634
8,4,1,3,80,basic,basic,basic,553,80,80,21,18867,0.096612
9,4,1,4,108,basic,basic,basic,14634,108,108,28,431202,1.10043
14,3,2,4,378,basic,basic,basic,21360,378,378,45,1295639,3.75998
4,3,1,0,12,basic,basic,matrix,1,12,12,3,4,2.4e-05
6,3,1,2,42,basic,basic,matrix,7,42,42,10,123,0.000593
8,3,1,4,88,basic,basic,matrix,168,88,88,21,2881,0.060233
10,3,2,0,150,basic,basic,matrix,4,150,150,15,54,0.000428
12,3,2,2,252,basic,basic,matrix,136,252,252,28,5824,0.156406
14,3,2,4,378,basic,basic,matrix,21360,378,378,45,916423,13.2875
10,4,1,5,140,basic,basic,basic,241470,140,140,36,13464365,34.1626
5,4,1,0,20,basic,basic,matrix,1,20,20,6,7,4.2e-05
6,4,1,1,36,basic,basic,matrix,3,36,36,10,90,0.000398
7,4,1,2,56,basic,basic,matrix,31,56,56,15,1076,0.005237
8,4,1,3,80,basic,basic,matrix,553,80,80,21,15864,0.149251
9,4,1,4,108,basic,basic,matrix,14634,108,108,28,279686,1.95921
10,4,1,5,140,basic,basic,matrix,241470,140,140,36,5275295,40.5514
11,4,1,6,176,basic,basic,matrix,2275080,176,176,45,89125837,790.769
4,3,1,0,12,basic,basic,minmax,1,12,12,3,4,4.2e-05
6,3,1,2,42,basic,basic,minmax,7,42,42,10,123,0.000767
8,3,1,4,88,basic,basic,minmax,168,88,88,21,2881,0.053394
10,3,2,0,150,basic,basic,minmax,4,150,150,15,54,0.000585
12,3,2,2,252,basic,basic,minmax,136,252,252,28,5824,0.104609
14,3,2,4,378,basic,basic,minmax,21360,378,378,45,916423,12.0944
11,4,1,6,176,basic,basic,basic,2275080,176,176,45,574540912,1476.67
5,4,1,0,20,basic,basic,minmax,1,20,20,6,7,6.7e-05
6,4,1,1,36,basic,basic,minmax,3,36,36,10,90,0.000547
7,4,1,2,56,basic,basic,minmax,31,56,56,15,1076,0.006971
8,4,1,3,80,basic,basic,minmax,553,80,80,21,15864,0.175958
9,4,1,4,108,basic,basic,minmax,14634,108,108,28,279686,2.48915
10,4,1,5,140,basic,basic,minmax,241470,140,140,36,5275295,52.0834
16,3,2,6,528,basic,basic,basic,1013760,528,528,66,588843932,1866.02
4,3,1,0,12,cycle,basic,basic,1,12,12,3,5,3.4e-05
6,3,1,2,42,cycle,basic,basic,3,42,42,8,38,0.000139
8,3,1,4,88,cycle,basic,basic,24,88,88,19,1382,0.003088
10,3,2,0,150,cycle,basic,basic,4,150,150,15,75,0.000225
