n,d,Q,R,sspl_lb,ginitr,sorted,sinitr,sspl,n_edge,n_state,time
4,3,1,0,12,basic,basic,basic,12,3,4,3.1e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.000113
8,3,1,4,88,basic,basic,basic,88,21,642,0.003144
10,3,2,0,150,basic,basic,basic,150,15,16,0.000114
12,3,2,2,252,basic,basic,basic,252,28,76,0.000281
4,3,1,0,12,basic,basic,matrix,12,3,4,2.3e-05
14,3,2,4,378,basic,basic,basic,378,45,3950,0.01594
6,3,1,2,42,basic,basic,matrix,42,10,38,0.000204
8,3,1,4,88,basic,basic,matrix,88,21,78,0.000626
10,3,2,0,150,basic,basic,matrix,150,15,16,0.000146
12,3,2,2,252,basic,basic,matrix,252,28,70,0.000912
14,3,2,4,378,basic,basic,matrix,378,45,1300,0.061109
4,3,1,0,12,basic,basic,minmax,12,3,4,3.9e-05
6,3,1,2,42,basic,basic,minmax,42,10,38,0.000265
8,3,1,4,88,basic,basic,minmax,88,21,78,0.000719
10,3,2,0,150,basic,basic,minmax,150,15,16,0.000196
12,3,2,2,252,basic,basic,minmax,252,28,70,0.000875
14,3,2,4,378,basic,basic,minmax,378,45,1300,0.06634
16,3,2,6,528,basic,basic,matrix,528,66,76427,1.48
4,3,1,0,12,cycle,basic,basic,12,3,4,6.5e-05
6,3,1,2,42,cycle,basic,basic,42,8,23,0.000139
8,3,1,4,88,cycle,basic,basic,88,19,501,0.002036
10,3,2,0,150,cycle,basic,basic,150,15,16,0.000145
12,3,2,2,252,cycle,basic,basic,252,26,130,0.000643
14,3,2,4,378,cycle,basic,basic,378,43,3508,0.017551
16,3,2,6,528,basic,basic,minmax,528,66,76427,1.52634
4,3,1,0,12,cycle,basic,matrix,12,3,4,2.4e-05
6,3,1,2,42,cycle,basic,matrix,42,8,22,0.000236
8,3,1,4,88,cycle,basic,matrix,88,19,84,0.00113
10,3,2,0,150,cycle,basic,matrix,150,15,16,0.000296
12,3,2,2,252,cycle,basic,matrix,252,26,130,0.002966
14,3,2,4,378,cycle,basic,matrix,378,43,1837,0.041552
16,3,2,6,528,cycle,basic,matrix,528,64,10649,0.339763
4,3,1,0,12,cycle,basic,minmax,12,3,4,8.3e-05
6,3,1,2,42,cycle,basic,minmax,42,8,22,0.000321
8,3,1,4,88,cycle,basic,minmax,88,19,84,0.001554
10,3,2,0,150,cycle,basic,minmax,150,15,16,0.000391
12,3,2,2,252,cycle,basic,minmax,252,26,130,0.002953
14,3,2,4,378,cycle,basic,minmax,378,43,1837,0.049296
16,3,2,6,528,cycle,basic,minmax,528,64,10649,0.301889
4,3,1,0,12,stree,basic,basic,12,3,4,8.2e-05
6,3,1,2,42,stree,basic,basic,42,8,9,8.1e-05
8,3,1,4,88,stree,basic,basic,88,13,16,0.000118
10,3,2,0,150,stree,basic,basic,150,15,16,0.000142
12,3,2,2,252,stree,basic,basic,252,26,27,0.000185
14,3,2,4,378,stree,basic,basic,378,41,58,0.000325
16,3,2,6,528,stree,basic,basic,528,60,184,0.001168
4,3,1,0,12,stree,basic,matrix,12,3,4,6.3e-05
6,3,1,2,42,stree,basic,matrix,42,8,9,0.000121
8,3,1,4,88,stree,basic,matrix,88,13,15,0.00022
10,3,2,0,150,stree,basic,matrix,150,15,16,0.000293
12,3,2,2,252,stree,basic,matrix,252,26,27,0.000784
14,3,2,4,378,stree,basic,matrix,378,41,51,0.000808
16,3,2,6,528,stree,basic,matrix,528,60,69,0.002589
4,3,1,0,12,stree,basic,minmax,12,3,4,9.9e-05
6,3,1,2,42,stree,basic,minmax,42,8,9,0.000171
8,3,1,4,88,stree,basic,minmax,88,13,15,0.000299
10,3,2,0,150,stree,basic,minmax,150,15,16,0.000385
12,3,2,2,252,stree,basic,minmax,252,26,27,0.000587
14,3,2,4,378,stree,basic,minmax,378,41,51,0.001517
16,3,2,6,528,stree,basic,minmax,528,60,69,0.002422
4,3,1,0,12,cycle,sorted,basic,12,3,4,3.2e-05
6,3,1,2,42,cycle,sorted,basic,42,8,20,0.000112
8,3,1,4,88,cycle,sorted,basic,88,19,116,0.000229
10,3,2,0,150,cycle,sorted,basic,150,15,16,7.4e-05
12,3,2,2,252,cycle,sorted,basic,252,26,60,0.000363
14,3,2,4,378,cycle,sorted,basic,378,43,1765,0.009699
16,3,2,6,528,cycle,basic,basic,528,64,321233,1.04555
4,3,1,0,12,cycle,sorted,matrix,12,3,4,0.000109
6,3,1,2,42,cycle,sorted,matrix,42,8,19,0.000217
8,3,1,4,88,cycle,sorted,matrix,88,19,52,0.000883
10,3,2,0,150,cycle,sorted,matrix,150,15,16,0.0003
12,3,2,2,252,cycle,sorted,matrix,252,26,60,0.001459
14,3,2,4,378,cycle,sorted,matrix,378,43,1000,0.031713
16,3,2,6,528,cycle,sorted,basic,528,64,100368,0.402831
4,3,1,0,12,cycle,sorted,minmax,12,3,4,4e-05
6,3,1,2,42,cycle,sorted,minmax,42,8,19,0.000153
8,3,1,4,88,cycle,sorted,minmax,88,19,52,0.00094
10,3,2,0,150,cycle,sorted,minmax,150,15,16,0.000418
12,3,2,2,252,cycle,sorted,minmax,252,26,60,0.001462
14,3,2,4,378,cycle,sorted,minmax,378,43,1000,0.040548
16,3,2,6,528,cycle,sorted,matrix,528,64,4124,0.194149
4,3,1,0,12,basic,basic,basic,12,3,4,4.3e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.00011
8,3,1,4,88,basic,basic,basic,88,21,642,0.001404
10,3,2,0,150,basic,basic,basic,150,15,16,7.5e-05
12,3,2,2,252,basic,basic,basic,252,28,76,0.000437
16,3,2,6,528,cycle,sorted,minmax,528,64,4124,0.200759
14,3,2,4,378,basic,basic,basic,378,45,3950,0.031352
4,3,1,0,12,basic,basic,matrix,12,3,4,2.3e-05
6,3,1,2,42,basic,basic,matrix,42,10,38,0.000199
8,3,1,4,88,basic,basic,matrix,88,21,78,0.000553
10,3,2,0,150,basic,basic,matrix,150,15,16,0.000148
12,3,2,2,252,basic,basic,matrix,252,28,70,0.000929
14,3,2,4,378,basic,basic,matrix,378,45,1300,0.048101
16,3,2,6,528,basic,basic,matrix,528,66,76427,1.50564
4,3,1,0,12,basic,basic,minmax,12,3,4,8.4e-05
6,3,1,2,42,basic,basic,minmax,42,10,38,0.000525
8,3,1,4,88,basic,basic,minmax,88,21,78,0.001444
10,3,2,0,150,basic,basic,minmax,150,15,16,0.000197
12,3,2,2,252,basic,basic,minmax,252,28,70,0.00173
14,3,2,4,378,basic,basic,minmax,378,45,1300,0.048527
16,3,2,6,528,basic,basic,minmax,528,66,76427,1.53732
4,3,1,0,12,cycle,basic,basic,12,3,4,6.3e-05
6,3,1,2,42,cycle,basic,basic,42,8,23,0.000165
8,3,1,4,88,cycle,basic,basic,88,19,501,0.002016
10,3,2,0,150,cycle,basic,basic,150,15,16,0.00014
12,3,2,2,252,cycle,basic,basic,252,26,130,0.000663
14,3,2,4,378,cycle,basic,basic,378,43,3508,0.017772
16,3,2,6,528,cycle,basic,basic,528,64,321233,0.995007
4,3,1,0,12,cycle,basic,matrix,12,3,4,5.3e-05
6,3,1,2,42,cycle,basic,matrix,42,8,22,0.000243
8,3,1,4,88,cycle,basic,matrix,88,19,84,0.001144
10,3,2,0,150,cycle,basic,matrix,150,15,16,0.000385
12,3,2,2,252,cycle,basic,matrix,252,26,130,0.003002
14,3,2,4,378,cycle,basic,matrix,378,43,1837,0.05478
16,3,2,6,528,cycle,basic,matrix,528,64,10649,0.308395
4,3,1,0,12,cycle,basic,minmax,12,3,4,8.3e-05
6,3,1,2,42,cycle,basic,minmax,42,8,22,0.000321
8,3,1,4,88,cycle,basic,minmax,88,19,84,0.001568
10,3,2,0,150,cycle,basic,minmax,150,15,16,0.000393
12,3,2,2,252,cycle,basic,minmax,252,26,130,0.002855
14,3,2,4,378,cycle,basic,minmax,378,43,1837,0.049362
16,3,2,6,528,cycle,basic,minmax,528,64,10649,0.312694
4,3,1,0,12,stree,basic,basic,12,3,4,8.1e-05
6,3,1,2,42,stree,basic,basic,42,8,9,9e-05
8,3,1,4,88,stree,basic,basic,88,13,16,0.000141
10,3,2,0,150,stree,basic,basic,150,15,16,0.000139
12,3,2,2,252,stree,basic,basic,252,26,27,0.000183
14,3,2,4,378,stree,basic,basic,378,41,58,0.000315
16,3,2,6,528,stree,basic,basic,528,60,184,0.001096
4,3,1,0,12,stree,basic,matrix,12,3,4,6.7e-05
6,3,1,2,42,stree,basic,matrix,42,8,9,0.000141
8,3,1,4,88,stree,basic,matrix,88,13,15,0.000219
10,3,2,0,150,stree,basic,matrix,150,15,16,0.000292
12,3,2,2,252,stree,basic,matrix,252,26,27,0.000726
14,3,2,4,378,stree,basic,matrix,378,41,51,0.001616
16,3,2,6,528,stree,basic,matrix,528,60,69,0.002661
4,3,1,0,12,stree,basic,minmax,12,3,4,4.7e-05
6,3,1,2,42,stree,basic,minmax,42,8,9,0.000168
8,3,1,4,88,stree,basic,minmax,88,13,15,0.000319
10,3,2,0,150,stree,basic,minmax,150,15,16,0.000386
12,3,2,2,252,stree,basic,minmax,252,26,27,0.000721
14,3,2,4,378,stree,basic,minmax,378,41,51,0.001605
16,3,2,6,528,stree,basic,minmax,528,60,69,0.002287
4,3,1,0,12,cycle,sorted,basic,12,3,4,5.8e-05
6,3,1,2,42,cycle,sorted,basic,42,8,20,0.000125
8,3,1,4,88,cycle,sorted,basic,88,19,116,0.000492
10,3,2,0,150,cycle,sorted,basic,150,15,16,0.000144
12,3,2,2,252,cycle,sorted,basic,252,26,60,0.000362
14,3,2,4,378,cycle,sorted,basic,378,43,1765,0.009104
16,3,2,6,528,cycle,sorted,basic,528,64,100368,0.41116
4,3,1,0,12,cycle,sorted,matrix,12,3,4,4.7e-05
6,3,1,2,42,cycle,sorted,matrix,42,8,19,0.000209
8,3,1,4,88,cycle,sorted,matrix,88,19,52,0.000725
10,3,2,0,150,cycle,sorted,matrix,150,15,16,0.000348
12,3,2,2,252,cycle,sorted,matrix,252,26,60,0.001611
14,3,2,4,378,cycle,sorted,matrix,378,43,1000,0.031051
16,3,2,6,528,cycle,sorted,matrix,528,64,4124,0.155387
4,3,1,0,12,cycle,sorted,minmax,12,3,4,7.7e-05
6,3,1,2,42,cycle,sorted,minmax,42,8,19,0.00014
8,3,1,4,88,cycle,sorted,minmax,88,19,52,0.000982
10,3,2,0,150,cycle,sorted,minmax,150,15,16,0.000395
12,3,2,2,252,cycle,sorted,minmax,252,26,60,0.001426
14,3,2,4,378,cycle,sorted,minmax,378,43,1000,0.031714
16,3,2,6,528,cycle,sorted,minmax,528,64,4124,0.137118
4,3,1,0,12,basic,basic,basic,12,3,4,6e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.000218
8,3,1,4,88,basic,basic,basic,88,21,642,0.002916
10,3,2,0,150,basic,basic,basic,150,15,16,7.1e-05
12,3,2,2,252,basic,basic,basic,252,28,76,0.000373
14,3,2,4,378,basic,basic,basic,378,45,3950,0.021153
16,3,2,6,528,basic,basic,basic,528,66,4066148,11.5297
4,3,1,0,12,basic,basic,matrix,12,3,4,5.3e-05
6,3,1,2,42,basic,basic,matrix,42,10,38,0.00042
8,3,1,4,88,basic,basic,matrix,88,21,78,0.001057
10,3,2,0,150,basic,basic,matrix,150,15,16,0.000343
12,3,2,2,252,basic,basic,matrix,252,28,70,0.002025
14,3,2,4,378,basic,basic,matrix,378,45,1300,0.04209
16,3,2,6,528,basic,basic,matrix,528,66,76427,1.52969
4,3,1,0,12,basic,basic,minmax,12,3,4,8.1e-05
6,3,1,2,42,basic,basic,minmax,42,10,38,0.000569
8,3,1,4,88,basic,basic,minmax,88,21,78,0.001463
10,3,2,0,150,basic,basic,minmax,150,15,16,0.000396
12,3,2,2,252,basic,basic,minmax,252,28,70,0.00167
14,3,2,4,378,basic,basic,minmax,378,45,1300,0.03499
16,3,2,6,528,basic,basic,basic,528,66,4066148,11.8471
4,3,1,0,12,cycle,basic,basic,12,3,4,6.5e-05
6,3,1,2,42,cycle,basic,basic,42,8,23,0.000138
8,3,1,4,88,cycle,basic,basic,88,19,501,0.002013
10,3,2,0,150,cycle,basic,basic,150,15,16,0.000167
12,3,2,2,252,cycle,basic,basic,252,26,130,0.000673
14,3,2,4,378,cycle,basic,basic,378,43,3508,0.017423
16,3,2,6,528,basic,basic,minmax,528,66,76427,1.50469
4,3,1,0,12,cycle,basic,matrix,12,3,4,4.7e-05
6,3,1,2,42,cycle,basic,matrix,42,8,22,0.000117
8,3,1,4,88,cycle,basic,matrix,88,19,84,0.000553
10,3,2,0,150,cycle,basic,matrix,150,15,16,0.000145
12,3,2,2,252,cycle,basic,matrix,252,26,130,0.005073
14,3,2,4,378,cycle,basic,matrix,378,43,1837,0.05497
16,3,2,6,528,cycle,basic,matrix,528,64,10649,0.321813
4,3,1,0,12,cycle,basic,minmax,12,3,4,8.4e-05
6,3,1,2,42,cycle,basic,minmax,42,8,22,0.000322
8,3,1,4,88,cycle,basic,minmax,88,19,84,0.001573
10,3,2,0,150,cycle,basic,minmax,150,15,16,0.000418
12,3,2,2,252,cycle,basic,minmax,252,26,130,0.002958
14,3,2,4,378,cycle,basic,minmax,378,43,1837,0.101434
16,3,2,6,528,cycle,basic,minmax,528,64,10649,0.304332
4,3,1,0,12,stree,basic,basic,12,3,4,0.000118
6,3,1,2,42,stree,basic,basic,42,8,9,8.8e-05
8,3,1,4,88,stree,basic,basic,88,13,16,0.000115
