n,d,Q,R,sspl_lb,ginitr,sorted,sinitr,sspl,n_edge,n_state,time
4,3,1,0,12,stree,basic,minmax,12,3,4,0.000132
6,3,1,2,42,stree,basic,minmax,42,8,9,0.000261
8,3,1,4,88,stree,basic,minmax,88,13,15,0.000153
10,3,2,0,150,stree,basic,minmax,150,15,16,0.000193
12,3,2,2,252,stree,basic,minmax,252,26,27,0.000398
14,3,2,4,378,stree,basic,minmax,378,41,51,0.013244
18,3,2,8,702,stree,basic,minmax,702,62,100,0.003775
16,3,2,6,528,stree,basic,minmax,528,60,69,0.002283
20,3,2,10,900,stree,basic,minmax,900,64,147,0.007524
24,3,3,2,1416,stree,basic,minmax,1416,89,830,0.057962
22,3,3,0,1122,stree,basic,minmax,0,66,12195,0.442448
5,4,1,0,20,stree,basic,minmax,20,6,7,7.5e-05
6,4,1,1,36,stree,basic,minmax,36,9,23,0.000174
28,3,3,6,2100,stree,basic,minmax,2100,147,10575,0.396991
7,4,1,2,56,stree,basic,minmax,56,13,45,0.000336
8,4,1,3,80,stree,basic,minmax,80,18,19,0.0002
9,4,1,4,108,stree,basic,minmax,108,24,32,0.00034
10,4,1,5,140,stree,basic,minmax,140,31,38,0.000434
11,4,1,6,176,stree,basic,minmax,176,39,63,0.000769
12,4,1,7,216,stree,basic,minmax,216,48,88,0.001145
13,4,1,8,260,stree,basic,minmax,260,58,128,0.001798
15,4,1,10,360,stree,basic,minmax,360,62,606,0.02419
14,4,1,9,308,stree,basic,minmax,308,60,245441,3.9772
17,4,2,0,476,stree,basic,minmax,0,66,13502,0.354799
26,3,3,4,1742,stree,basic,minmax,1742,116,234299,7.25317
19,4,2,2,646,stree,basic,minmax,646,89,100,0.002359
30,3,3,8,2490,stree,basic,minmax,2490,182,249621,9.08203
20,4,2,3,740,stree,basic,minmax,740,102,125067,2.70612
22,4,2,5,946,stree,basic,minmax,946,131,899,0.062477
23,4,2,6,1058,stree,basic,minmax,1058,147,209,0.005979
24,4,2,7,1176,stree,basic,minmax,1176,164,240,0.007331
25,4,2,8,1300,stree,basic,minmax,1300,182,1035,0.057027
26,4,2,9,1430,stree,basic,minmax,1430,201,1492,0.075979
27,4,2,10,1566,stree,basic,minmax,1566,221,1491,0.078599
28,4,2,11,1708,stree,basic,minmax,1708,242,4382,0.245924
29,4,2,12,1856,stree,basic,minmax,1856,264,13969,0.615379
21,4,2,4,840,stree,basic,minmax,840,116,90043,1.98678
4,3,1,0,12,stree,basic,matrix,12,3,4,4.6e-05
6,3,1,2,42,stree,basic,matrix,42,8,9,5.9e-05
8,3,1,4,88,stree,basic,matrix,88,13,15,0.000112
10,3,2,0,150,stree,basic,matrix,150,15,16,0.000164
12,3,2,2,252,stree,basic,matrix,252,26,27,0.000378
14,3,2,4,378,stree,basic,matrix,378,41,51,0.000847
16,3,2,6,528,stree,basic,matrix,528,60,69,0.00138
18,3,2,8,702,stree,basic,matrix,702,62,100,0.002303
20,3,2,10,900,stree,basic,matrix,900,64,147,0.003776
30,4,2,13,2010,stree,basic,minmax,2010,287,8162,0.399904
24,3,3,2,1416,stree,basic,matrix,1416,89,830,0.089409
22,3,3,0,1122,stree,basic,matrix,0,66,12195,0.402411
28,3,3,6,2100,stree,basic,matrix,2100,147,10575,0.569043
16,4,1,11,416,stree,basic,minmax,0,64,626551,12.8535
5,4,1,0,20,stree,basic,matrix,20,6,7,5.1e-05
6,4,1,1,36,stree,basic,matrix,36,9,23,0.000128
7,4,1,2,56,stree,basic,matrix,56,13,45,0.000263
8,4,1,3,80,stree,basic,matrix,80,18,19,0.000159
9,4,1,4,108,stree,basic,matrix,108,24,32,0.000256
10,4,1,5,140,stree,basic,matrix,140,31,38,0.000347
11,4,1,6,176,stree,basic,matrix,176,39,63,0.000635
12,4,1,7,216,stree,basic,matrix,216,48,88,0.001049
13,4,1,8,260,stree,basic,matrix,260,58,128,0.001666
14,4,1,9,308,stree,basic,matrix,308,60,245441,3.37518
15,4,1,10,360,stree,basic,matrix,360,62,606,0.009029
26,3,3,4,1742,stree,basic,matrix,1742,116,234299,9.95998
17,4,2,0,476,stree,basic,matrix,0,66,13502,0.343753
30,3,3,8,2490,stree,basic,matrix,2490,182,249621,14.018
19,4,2,2,646,stree,basic,matrix,646,89,100,0.002722
16,4,1,11,416,stree,basic,matrix,0,64,626551,10.8829
20,4,2,3,740,stree,basic,matrix,740,102,125067,3.21403
22,4,2,5,946,stree,basic,matrix,946,131,899,0.064866
23,4,2,6,1058,stree,basic,matrix,1058,147,209,0.006538
24,4,2,7,1176,stree,basic,matrix,1176,164,240,0.008299
25,4,2,8,1300,stree,basic,matrix,1300,182,1035,0.090334
26,4,2,9,1430,stree,basic,matrix,1430,201,1492,0.150256
27,4,2,10,1566,stree,basic,matrix,1566,221,1491,0.174677
28,4,2,11,1708,stree,basic,matrix,1708,242,4382,0.259376
21,4,2,4,840,stree,basic,matrix,840,116,90043,2.58526
29,4,2,12,1856,stree,basic,matrix,1856,264,13969,0.714642
4,3,1,0,12,stree,basic,minmax,12,3,4,5.5e-05
6,3,1,2,42,stree,basic,minmax,42,8,9,8.6e-05
8,3,1,4,88,stree,basic,minmax,88,13,15,0.000151
10,3,2,0,150,stree,basic,minmax,150,15,16,0.000194
12,3,2,2,252,stree,basic,minmax,252,26,27,0.000355
14,3,2,4,378,stree,basic,minmax,378,41,51,0.000771
16,3,2,6,528,stree,basic,minmax,528,60,69,0.001148
18,3,2,8,702,stree,basic,minmax,702,62,100,0.001973
20,3,2,10,900,stree,basic,minmax,900,64,147,0.003446
30,4,2,13,2010,stree,basic,matrix,2010,287,8162,0.491966
24,3,3,2,1416,stree,basic,minmax,1416,89,830,0.063235
22,3,3,0,1122,stree,basic,minmax,0,66,12195,0.496133
28,3,3,6,2100,stree,basic,minmax,2100,147,10575,0.438161
18,4,2,1,558,stree,basic,minmax,0,77,1329149,28.4722
5,4,1,0,20,stree,basic,minmax,20,6,7,7.6e-05
6,4,1,1,36,stree,basic,minmax,36,9,23,0.000178
7,4,1,2,56,stree,basic,minmax,56,13,45,0.000367
8,4,1,3,80,stree,basic,minmax,80,18,19,0.000257
9,4,1,4,108,stree,basic,minmax,108,24,32,0.000339
10,4,1,5,140,stree,basic,minmax,140,31,38,0.000473
11,4,1,6,176,stree,basic,minmax,176,39,63,0.000779
12,4,1,7,216,stree,basic,minmax,216,48,88,0.001208
13,4,1,8,260,stree,basic,minmax,260,58,128,0.001848
14,4,1,9,308,stree,basic,minmax,308,60,245441,4.02239
15,4,1,10,360,stree,basic,minmax,360,62,606,0.010514
26,3,3,4,1742,stree,basic,minmax,1742,116,234299,7.33344
17,4,2,0,476,stree,basic,minmax,0,66,13502,0.362645
30,3,3,8,2490,stree,basic,minmax,2490,182,249621,9.19575
19,4,2,2,646,stree,basic,minmax,646,89,100,0.002356
20,4,2,3,740,stree,basic,minmax,740,102,125067,2.78231
21,4,2,4,840,stree,basic,minmax,840,116,90043,2.00584
22,4,2,5,946,stree,basic,minmax,946,131,899,0.034376
23,4,2,6,1058,stree,basic,minmax,1058,147,209,0.005974
24,4,2,7,1176,stree,basic,minmax,1176,164,240,0.007168
25,4,2,8,1300,stree,basic,minmax,1300,182,1035,0.093004
26,4,2,9,1430,stree,basic,minmax,1430,201,1492,0.084559
27,4,2,10,1566,stree,basic,minmax,1566,221,1491,0.079325
28,4,2,11,1708,stree,basic,minmax,1708,242,4382,0.264252
29,4,2,12,1856,stree,basic,minmax,1856,264,13969,0.615804
30,4,2,13,2010,stree,basic,minmax,2010,287,8162,0.395189
4,3,1,0,12,stree,basic,matrix,12,3,4,3.5e-05
6,3,1,2,42,stree,basic,matrix,42,8,9,6e-05
8,3,1,4,88,stree,basic,matrix,88,13,15,0.000121
10,3,2,0,150,stree,basic,matrix,150,15,16,0.000146
12,3,2,2,252,stree,basic,matrix,252,26,27,0.00036
14,3,2,4,378,stree,basic,matrix,378,41,51,0.000813
16,3,2,6,528,stree,basic,matrix,528,60,69,0.001285
18,3,2,8,702,stree,basic,matrix,702,62,100,0.002266
20,3,2,10,900,stree,basic,matrix,900,64,147,0.003811
22,3,3,0,1122,stree,basic,matrix,0,66,12195,0.417022
24,3,3,2,1416,stree,basic,matrix,1416,89,830,0.088587
18,4,2,1,558,stree,basic,matrix,0,77,1329149,25.4399
28,3,3,6,2100,stree,basic,matrix,2100,147,10575,0.570312
16,4,1,11,416,stree,basic,minmax,0,64,626551,13.3431
