n,d,Q,R,sspl_lb,bdr,srt,mgr,sspl,edge,node,time
4,3,1,0,12,basic,basic,basic,12,3,4,9.1e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.000275
8,3,1,4,88,basic,basic,basic,88,21,642,0.003489
10,3,2,0,150,basic,basic,basic,150,15,16,0.000174
12,3,2,2,252,basic,basic,basic,252,28,76,0.000224
5,4,1,0,20,basic,basic,basic,20,6,7,5.6e-05
6,4,1,1,36,basic,basic,basic,36,10,46,0.000161
7,4,1,2,56,basic,basic,basic,56,15,131,0.00036
14,3,2,4,378,basic,basic,basic,378,45,3950,0.029553
9,4,1,4,108,basic,basic,basic,108,28,506,0.001503
8,4,1,3,80,basic,basic,basic,80,21,670,0.004749
4,3,1,0,12,basic,basic,matrix,12,3,4,2.8e-05
6,3,1,2,42,basic,basic,matrix,42,10,38,0.000242
8,3,1,4,88,basic,basic,matrix,88,21,78,0.001026
10,3,2,0,150,basic,basic,matrix,150,15,16,0.000175
12,3,2,2,252,basic,basic,matrix,252,28,70,0.003262
10,4,1,5,140,basic,basic,basic,140,36,38126,0.220604
14,3,2,4,378,basic,basic,matrix,378,45,1300,0.116101
5,4,1,0,20,basic,basic,matrix,20,6,7,4.8e-05
6,4,1,1,36,basic,basic,matrix,36,10,46,0.000284
7,4,1,2,56,basic,basic,matrix,56,15,119,0.000757
8,4,1,3,80,basic,basic,matrix,80,21,390,0.007818
9,4,1,4,108,basic,basic,matrix,108,28,83,0.000847
10,4,1,5,140,basic,basic,matrix,140,36,938,0.009696
11,4,1,6,176,basic,basic,matrix,176,45,1563,0.036401
4,3,1,0,12,basic,basic,minmax,12,3,4,4.9e-05
6,3,1,2,42,basic,basic,minmax,42,10,38,0.000386
8,3,1,4,88,basic,basic,minmax,88,21,78,0.000956
10,3,2,0,150,basic,basic,minmax,150,15,16,0.000273
12,3,2,2,252,basic,basic,minmax,252,28,70,0.001033
14,3,2,4,378,basic,basic,minmax,378,45,1300,0.063536
16,3,2,6,528,basic,basic,matrix,528,66,76427,1.94317
