n,d,Q,R,sspl_lb,mgr,sspl,edge,node,time
4,3,1,0,12,basic,12,3,4,0.000793
10,3,2,0,150,basic,150,15,16,0.000112
6,3,1,2,42,basic,42,10,44,0.000279
12,3,2,2,252,basic,252,28,76,0.001182
8,3,1,4,88,basic,88,21,642,0.004027
14,3,2,4,378,basic,378,45,3950,0.032485
4,3,1,0,12,minmax,12,3,4,9.9e-05
6,3,1,2,42,minmax,42,10,38,0.000812
8,3,1,4,88,minmax,88,21,78,0.001011
12,3,2,2,252,minmax,252,28,70,0.001502
10,3,2,0,150,minmax,150,15,16,0.021463
14,3,2,4,378,minmax,378,45,1300,0.048166
16,3,2,6,528,minmax,528,66,76427,1.78147
4,3,1,0,12,matrix,12,3,4,3e-05
6,3,1,2,42,matrix,42,10,38,0.000396
8,3,1,4,88,matrix,88,21,78,0.000635
10,3,2,0,150,matrix,150,15,16,0.000326
12,3,2,2,252,matrix,252,28,70,0.001251
14,3,2,4,378,matrix,378,45,1300,0.077682
16,3,2,6,528,matrix,528,66,76427,1.78227
16,3,2,6,528,basic,528,66,4066148,14.4948
18,3,2,8,702,matrix,702,91,5667420,142.755
18,3,2,8,702,minmax,702,91,5667420,146.992
18,3,2,8,702,basic,702,91,11377855243,41022
24,3,3,2,1416,basic,1416,91,92,0.000428
22,3,3,0,1122,basic,0,66,9375,0.11484
26,3,3,4,1742,basic,1742,120,6304,0.100895
22,3,3,0,1122,minmax,0,66,6165,0.298374
24,3,3,2,1416,minmax,1416,91,92,0.003444
26,3,3,4,1742,minmax,1742,120,4552,0.267322
28,3,3,6,2100,basic,2100,153,32419015,161.423
28,3,3,6,2100,minmax,2100,153,14689015,590.68
22,3,3,0,1122,matrix,0,66,6165,0.39351
24,3,3,2,1416,matrix,1416,91,92,0.004195
26,3,3,4,1742,matrix,1742,120,4552,0.382748
28,3,3,6,2100,matrix,2100,153,14689015,889.593
