n,p-or-m,type,seed,m,test,time-igraph,time
10,0.1,random,1636523965,1,1,6.3e-05,6.5e-05
10,0.6,random,1110486666,30,1,8.6e-05,5.9e-05
10,0.9,random,333050915,41,1,1.7e-05,1.2e-05
10,0.3,random,2173888152,14,1,1.6e-05,1e-05
50,0.1,random,1576857695,131,1,0.000873,0.000694
50,0.3,random,656588917,370,1,0.001241,0.000363
50,0.6,random,3075396009,729,1,0.001875,0.000366
100,0.1,random,1442263803,480,1,0.001697,0.000805
50,0.9,random,971085403,1109,1,0.014492,0.000153
100,0.9,random,3758907005,4441,1,0.007691,0.000651
100,0.3,random,2393893874,1446,1,0.003232,0.000629
100,0.6,random,2968655173,2926,1,0.002546,0.000376
300,0.1,random,1697612666,4457,1,0.014529,0.003846
300,0.3,random,1560778219,13452,1,0.035536,0.004021
600,0.1,random,310026885,18231,1,0.102361,0.017466
300,0.9,random,279334744,40451,1,0.096263,0.004099
300,0.6,random,243882552,26987,1,0.065213,0.004096
10,3,scale-free,2530582694,26,1,1.4e-05,6e-06
10,6,scale-free,1961709734,53,1,1.5e-05,6e-06
50,3,scale-free,2222620578,146,1,0.000157,7.7e-05
50,6,scale-free,890354536,293,1,0.00023,8.8e-05
50,10,scale-free,3232300000,489,1,0.000635,0.000188
50,15,scale-free,2347560878,734,1,0.000841,0.000232
50,20,scale-free,3938636358,979,1,0.00048,0.000107
100,3,scale-free,3685526948,296,1,0.001255,0.000787
100,6,scale-free,4061164632,593,1,0.001861,0.014462
100,10,scale-free,1499511618,989,1,0.001299,0.000458
100,15,scale-free,3254517019,1484,1,0.001584,0.000515
100,20,scale-free,3205257774,1979,1,0.001944,0.000482
300,3,scale-free,702470786,896,1,0.005895,0.00408
1000,0.1,random,1562702817,49419,1,0.42416,0.04186
300,6,scale-free,1358529751,1793,1,0.008127,0.005794
300,10,scale-free,1005103616,2989,1,0.011401,0.005456
600,0.3,random,647747667,54110,1,0.265649,0.017829
600,3,scale-free,3619928251,1796,1,0.024434,0.025204
300,15,scale-free,3574202175,4484,1,0.015198,0.004316
600,6,scale-free,1039327258,3593,1,0.032395,0.017168
600,0.9,random,975184348,161751,1,0.810654,0.027316
300,20,scale-free,961697682,5979,1,0.018499,0.005039
600,10,scale-free,908391606,5989,1,0.044604,0.018196
1000,3,scale-free,2293718299,2996,1,0.068649,0.051348
1000,6,scale-free,1368452727,5993,1,0.094045,0.050112
600,0.6,random,997111640,107673,1,0.534349,0.025029
600,15,scale-free,2307252557,8984,1,0.059601,0.019106
10,0.1,random,1636523965,1,1,1e-05,6e-06
10,0.3,random,2173888152,14,1,1.4e-05,9e-06
10,0.6,random,1110486666,30,1,1.5e-05,1e-05
10,0.9,random,333050915,41,1,1.7e-05,1.1e-05
50,0.1,random,1576857695,131,1,0.000193,0.000166
50,0.3,random,656588917,370,1,0.000283,9e-05
50,0.6,random,3075396009,729,1,0.000418,9.3e-05
50,0.9,random,971085403,1109,1,0.000564,9.5e-05
100,0.1,random,1442263803,480,1,0.01787,0.000981
100,0.3,random,2393893874,1446,1,0.033733,0.000716
100,0.6,random,2968655173,2926,1,0.005568,0.000972
100,0.9,random,3758907005,4441,1,0.007818,0.000958
300,0.1,random,1697612666,4457,1,0.015387,0.007097
300,0.3,random,1560778219,13452,1,0.036511,0.004073
300,0.6,random,243882552,26987,1,0.068346,0.004277
300,0.9,random,279334744,40451,1,0.099334,0.003926
1000,10,scale-free,3403357323,9989,1,0.127248,0.050407
600,0.1,random,310026885,18231,1,0.107067,0.018503
600,0.3,random,647747667,54110,1,0.267875,0.019073
1000,0.3,random,2760669153,149892,1,1.42388,0.04927
600,20,scale-free,3472465246,11979,1,0.07371,0.016856
1000,0.1,random,1562702817,49419,1,0.470847,0.051823
600,0.6,random,997111640,107673,1,0.519694,0.019326
600,0.9,random,975184348,161751,1,0.768295,0.018767
10,3,scale-free,2530582694,26,1,1.4e-05,6e-06
10,6,scale-free,1961709734,53,1,1.6e-05,8e-06
50,3,scale-free,2222620578,146,1,0.000172,7.7e-05
50,6,scale-free,890354536,293,1,0.000242,9.1e-05
50,10,scale-free,3232300000,489,1,0.000637,0.000183
50,15,scale-free,2347560878,734,1,0.000834,0.000186
50,20,scale-free,3938636358,979,1,0.00046,0.000129
100,3,scale-free,3685526948,296,1,0.000761,0.000657
100,6,scale-free,4061164632,593,1,0.002703,0.001111
100,10,scale-free,1499511618,989,1,0.001415,0.000479
100,15,scale-free,3254517019,1484,1,0.001755,0.000423
100,20,scale-free,3205257774,1979,1,0.002206,0.000383
300,3,scale-free,702470786,896,1,0.005874,0.004368
300,6,scale-free,1358529751,1793,1,0.008105,0.004915
300,10,scale-free,1005103616,2989,1,0.011836,0.005211
1000,15,scale-free,3932922484,14984,1,0.172984,0.049753
1000,0.9,random,699979111,449525,1,3.59517,0.053776
300,15,scale-free,3574202175,4484,1,0.014976,0.004182
600,3,scale-free,3619928251,1796,1,0.025791,0.019517
600,6,scale-free,1039327258,3593,1,0.034089,0.0196
300,20,scale-free,961697682,5979,1,0.017579,0.003855
600,10,scale-free,908391606,5989,1,0.04542,0.021116
1000,3,scale-free,2293718299,2996,1,0.071332,0.055062
1000,6,scale-free,1368452727,5993,1,0.100348,0.050537
600,15,scale-free,2307252557,8984,1,0.065016,0.019693
1000,0.3,random,2760669153,149892,1,1.42557,0.051556
1000,10,scale-free,3403357323,9989,1,0.134894,0.052709
10,0.1,random,1636523965,1,1,7e-06,6e-06
10,0.3,random,2173888152,14,1,1.5e-05,1.1e-05
10,0.6,random,1110486666,30,1,1.4e-05,1e-05
10,0.9,random,333050915,41,1,1.6e-05,9e-06
50,0.1,random,1576857695,131,1,0.000235,0.000272
50,0.3,random,656588917,370,1,0.000299,9.7e-05
50,0.6,random,3075396009,729,1,0.000563,0.000123
50,0.9,random,971085403,1109,1,0.000572,0.000104
100,0.1,random,1442263803,480,1,0.002362,0.041332
100,0.3,random,2393893874,1446,1,0.026421,0.001499
100,0.6,random,2968655173,2926,1,0.003762,0.001096
100,0.9,random,3758907005,4441,1,0.008532,0.001633
300,0.1,random,1697612666,4457,1,0.015945,0.004203
300,0.3,random,1560778219,13452,1,0.038814,0.005062
300,0.6,random,243882552,26987,1,0.072823,0.00407
600,20,scale-free,3472465246,11979,1,0.080247,0.017441
300,0.9,random,279334744,40451,1,0.107393,0.007505
1000,0.6,random,875611073,299588,1,2.71046,0.05877
600,0.1,random,310026885,18231,1,0.10882,0.017896
1000,20,scale-free,3473799494,19979,1,0.205373,0.050599
1000,0.1,random,1562702817,49419,1,0.457319,0.051337
600,0.3,random,647747667,54110,1,0.275468,0.018277
600,0.9,random,975184348,161751,1,0.80108,0.01927
1000,0.9,random,699979111,449525,1,3.71281,0.056331
10,3,scale-free,2530582694,26,1,1.4e-05,7e-06
10,6,scale-free,1961709734,53,1,1.7e-05,7e-06
50,3,scale-free,2222620578,146,1,0.000194,0.000104
50,6,scale-free,890354536,293,1,0.000264,8.8e-05
50,10,scale-free,3232300000,489,1,0.000696,0.000222
50,15,scale-free,2347560878,734,1,0.000453,0.000127
50,20,scale-free,3938636358,979,1,0.000531,9.2e-05
100,3,scale-free,3685526948,296,1,0.001342,0.000816
100,6,scale-free,4061164632,593,1,0.00191,0.000893
100,10,scale-free,1499511618,989,1,0.001087,0.000539
100,15,scale-free,3254517019,1484,1,0.00172,0.000404
100,20,scale-free,3205257774,1979,1,0.002217,0.000584
300,3,scale-free,702470786,896,1,0.006331,0.00452
300,6,scale-free,1358529751,1793,1,0.008652,0.005716
300,10,scale-free,1005103616,2989,1,0.012002,0.004052
600,0.6,random,997111640,107673,1,0.527817,0.017976
1000,15,scale-free,3932922484,14984,1,0.17244,0.049015
600,3,scale-free,3619928251,1796,1,0.02546,0.01904
600,6,scale-free,1039327258,3593,1,0.035131,0.027709
300,15,scale-free,3574202175,4484,1,0.013601,0.004146
300,20,scale-free,961697682,5979,1,0.018772,0.004503
600,10,scale-free,908391606,5989,1,0.048626,0.025659
1000,3,scale-free,2293718299,2996,1,0.06985,0.057681
1000,6,scale-free,1368452727,5993,1,0.097666,0.05093
600,15,scale-free,2307252557,8984,1,0.063535,0.023106
1000,0.3,random,2760669153,149892,1,1.42238,0.054748
1000,0.6,random,875611073,299588,1,2.77948,0.051674
10,0.1,random,1636523965,1,1,7e-06,6e-06
10,0.3,random,2173888152,14,1,1.5e-05,1e-05
10,0.6,random,1110486666,30,1,1.9e-05,1.1e-05
10,0.9,random,333050915,41,1,1.4e-05,9e-06
50,0.1,random,1576857695,131,1,0.0002,0.000164
50,0.3,random,656588917,370,1,0.0003,9.7e-05
50,0.6,random,3075396009,729,1,0.000448,0.000103
50,0.9,random,971085403,1109,1,0.000579,9.2e-05
100,0.1,random,1442263803,480,1,0.003835,0.001758
100,0.3,random,2393893874,1446,1,0.004294,0.000725
100,0.6,random,2968655173,2926,1,0.005091,0.00094
100,0.9,random,3758907005,4441,1,0.008231,0.000845
300,0.1,random,1697612666,4457,1,0.01627,0.004884
1000,10,scale-free,3403357323,9989,1,0.134962,0.047957
300,0.3,random,1560778219,13452,1,0.038078,0.004739
300,0.9,random,279334744,40451,1,0.105362,0.004377
300,0.6,random,243882552,26987,1,0.070622,0.003928
600,0.1,random,310026885,18231,1,0.11457,0.018056
600,20,scale-free,3472465246,11979,1,0.075934,0.018112
600,0.3,random,647747667,54110,1,0.296979,0.031653
1000,20,scale-free,3473799494,19979,1,0.207894,0.048696
1000,0.1,random,1562702817,49419,1,0.472245,0.051261
600,0.9,random,975184348,161751,1,0.812237,0.018085
600,0.6,random,997111640,107673,1,0.578429,0.018736
10,3,scale-free,2530582694,26,1,1.6e-05,6e-06
10,6,scale-free,1961709734,53,1,1.7e-05,7e-06
50,3,scale-free,2222620578,146,1,0.00018,8e-05
50,6,scale-free,890354536,293,1,0.000244,9e-05
50,10,scale-free,3232300000,489,1,0.000679,0.000186
50,15,scale-free,2347560878,734,1,0.000915,0.000194
50,20,scale-free,3938636358,979,1,0.000538,0.000101
100,3,scale-free,3685526948,296,1,0.001501,0.000897
100,6,scale-free,4061164632,593,1,0.001984,0.000773
100,10,scale-free,1499511618,989,1,0.001289,0.000443
1000,0.9,random,699979111,449525,1,3.82429,0.052091
100,15,scale-free,3254517019,1484,1,0.001726,0.000433
300,3,scale-free,702470786,896,1,0.006172,0.004531
300,6,scale-free,1358529751,1793,1,0.008723,0.009635
100,20,scale-free,3205257774,1979,1,0.002143,0.000422
300,10,scale-free,1005103616,2989,1,0.012073,0.005293
1000,15,scale-free,3932922484,14984,1,0.172064,0.051907
600,3,scale-free,3619928251,1796,1,0.025353,0.024446
300,15,scale-free,3574202175,4484,1,0.014402,0.004337
600,6,scale-free,1039327258,3593,1,0.035267,0.02029
600,10,scale-free,908391606,5989,1,0.048562,0.019378
300,20,scale-free,961697682,5979,1,0.019612,0.004328
1000,3,scale-free,2293718299,2996,1,0.072513,0.053196
