n,d,Q,R,sspl_lb,sspl,edge,node,time
16,6,1,9,384,384,96,164,0.00961
20,7,1,12,620,620,159,544,0.039268
22,6,1,15,792,792,195,4290,0.1961
21,6,1,14,714,714,176,24225,0.782647
10,8,1,1,100,100,35,4745,0.107262
29,8,1,20,1392,1392,358,592751,34.308
10,7,1,2,110,110,34,7550,0.136353
12,6,1,5,192,192,50,51,0.000927
20,9,1,10,580,580,161,47097,1.27114
18,9,1,8,450,450,128,129,0.003854
23,10,1,12,782,782,219,4143779,125.363
28,10,1,17,1232,1232,334,30977,1.75215
13,10,1,2,182,182,64,14026168,187.556
12,8,1,3,168,168,52,281966,3.08875
19,8,1,10,532,532,143,22284,0.574979
17,8,1,8,408,408,112,1549,0.07863
24,8,1,15,912,912,238,3409,0.17281
14,8,1,5,252,252,73,7350320,94.1833
22,9,1,12,726,726,198,3745173,107.76
16,7,1,8,368,368,97,1091,0.055779
11,10,1,0,110,110,45,46,0.000732
17,6,1,10,442,442,110,188,0.004227
21,8,1,12,672,672,178,65690,1.90625
26,8,1,17,1092,1092,283,17900,0.863345
22,7,1,14,770,770,196,1090,0.098862
26,7,1,18,1118,1118,282,235713,9.97085
8,6,1,1,64,64,20,257,0.002042
23,6,1,16,874,874,215,6522,0.30351
22,10,1,11,704,704,199,547428,15.808
10,9,1,0,90,90,36,37,0.000553
12,7,1,4,180,180,51,114093,1.31141
14,6,1,7,280,280,71,252,0.004018
13,6,1,6,234,234,60,153,0.00216
20,10,1,9,560,560,162,163,0.0055
18,6,1,11,504,504,125,351,0.008228
29,10,1,18,1334,1334,360,59225,3.2509
7,6,1,0,42,42,15,16,0.00018
9,8,1,0,72,72,28,29,0.000402
23,8,1,14,828,828,217,1161,0.116979
30,8,1,21,1500,1500,385,1530461,89.0547
28,8,1,19,1288,1288,332,17924,0.97158
12,9,1,2,156,156,53,967988,10.6792
24,9,1,14,888,888,239,3785452,130.036
14,9,1,4,238,238,74,62361411,799.37
19,6,1,12,570,570,141,405,0.020381
14,10,1,3,224,224,75,206691098,2695.89
26,9,1,16,1066,1066,284,18227,0.864076
8,7,1,0,56,56,21,22,0.00026
28,7,1,20,1316,1316,331,203486,9.56517
9,6,1,2,90,90,26,953,0.011112
11,8,1,2,132,132,43,78001,0.877453
16,8,1,7,352,352,98,99,0.00238
14,7,1,6,266,266,72,73,0.00142
18,7,1,10,486,486,126,7716,0.248148
15,6,1,8,330,330,83,634,0.01827
21,10,1,10,630,630,180,29427,0.703656
20,6,1,13,640,640,158,339,0.013831
24,6,1,17,960,960,236,58150228,2021.78
10,6,1,3,120,120,33,4860,0.119873
15,8,1,6,300,300,85,742577,10.4845
13,8,1,4,208,208,62,3711772,42.7125
20,8,1,11,600,600,160,165043,4.32724
18,8,1,9,468,468,127,5105,0.168911
25,8,1,16,1000,1000,260,2845,0.174469
30,9,1,20,1470,1470,386,1098454,63.0381
28,9,1,18,1260,1260,333,10193,0.567364
12,10,1,1,144,144,54,118736,1.45456
30,10,1,19,1440,1440,387,375341,16.5055
24,7,1,16,936,936,237,12956,0.555705
24,10,1,13,864,864,240,16612517,551.731
22,8,1,13,748,748,197,871,0.069958
27,8,1,18,1188,1188,307,195818,9.21054
25,6,1,18,1050,1050,258,13195208,505.745
11,6,1,4,154,154,41,2589,0.081992
