n,d,Q,R,sspl_lb,bdr,mgr,srt,sspl,edge,node,time
6,3,1,2,42,basic,basic,basic,42,10,44,0.000251
4,3,1,0,12,basic,basic,basic,12,3,4,3.5e-05
8,3,1,4,88,basic,basic,basic,88,21,642,0.004152
10,3,2,0,150,basic,basic,basic,150,15,16,0.000106
12,3,2,2,252,basic,basic,basic,252,28,76,0.000403
14,3,2,4,378,basic,basic,basic,378,45,3950,0.027531
6,4,1,1,36,basic,basic,basic,36,10,46,0.000171
5,4,1,0,20,basic,basic,basic,20,6,7,5.2e-05
7,4,1,2,56,basic,basic,basic,56,15,131,0.000368
8,4,1,3,80,basic,basic,basic,80,21,670,0.001753
9,4,1,4,108,basic,basic,basic,108,28,506,0.001393
6,5,1,0,30,basic,basic,basic,30,10,11,0.000174
8,5,1,2,72,basic,basic,basic,72,21,711,0.003408
4,3,1,0,12,basic,minmax,basic,12,3,4,4.8e-05
6,3,1,2,42,basic,minmax,basic,42,10,38,0.00034
8,3,1,4,88,basic,minmax,basic,88,21,78,0.003242
10,3,2,0,150,basic,minmax,basic,150,15,16,0.000304
12,3,2,2,252,basic,minmax,basic,252,28,70,0.001162
14,3,2,4,378,basic,minmax,basic,378,45,1300,0.079879
5,4,1,0,20,basic,minmax,basic,20,6,7,8.1e-05
6,4,1,1,36,basic,minmax,basic,36,10,46,0.000381
10,4,1,5,140,basic,basic,basic,140,36,38126,0.241166
7,4,1,2,56,basic,minmax,basic,56,15,119,0.001036
8,4,1,3,80,basic,minmax,basic,80,21,390,0.003929
9,4,1,4,108,basic,minmax,basic,108,28,83,0.001073
6,5,1,0,30,basic,minmax,basic,30,10,11,0.000126
10,4,1,5,140,basic,minmax,basic,140,36,938,0.023519
4,3,1,0,12,cycle,basic,sorted,12,3,4,3.3e-05
8,5,1,2,72,basic,minmax,basic,72,21,684,0.02922
6,3,1,2,42,cycle,basic,sorted,42,8,20,7.7e-05
8,3,1,4,88,cycle,basic,sorted,88,19,116,0.000288
12,3,2,2,252,cycle,basic,sorted,252,26,60,0.000487
10,3,2,0,150,cycle,basic,sorted,150,15,16,8.9e-05
14,3,2,4,378,cycle,basic,sorted,378,43,1765,0.010779
5,4,1,0,20,cycle,basic,sorted,20,6,7,5.3e-05
6,4,1,1,36,cycle,basic,sorted,36,8,44,0.000158
7,4,1,2,56,cycle,basic,sorted,56,13,65,0.000207
8,4,1,3,80,cycle,basic,sorted,80,19,248,0.000709
9,4,1,4,108,cycle,basic,sorted,108,26,1004,0.002653
10,4,1,5,140,cycle,basic,sorted,140,34,6015,0.058173
6,5,1,0,30,cycle,basic,sorted,30,10,11,9.9e-05
8,5,1,2,72,cycle,basic,sorted,72,19,360,0.001116
4,3,1,0,12,cycle,minmax,sorted,12,3,4,4.8e-05
6,3,1,2,42,cycle,minmax,sorted,42,8,19,0.000209
8,3,1,4,88,cycle,minmax,sorted,88,19,52,0.00057
10,3,2,0,150,cycle,minmax,sorted,150,15,16,0.000246
12,3,2,2,252,cycle,minmax,sorted,252,26,60,0.00091
14,3,2,4,378,cycle,minmax,sorted,378,43,1000,0.020318
