n,d,Q,R,sspl_lb,bdr,mgr,sspl,node,time
4,3,1,0,12,basic,basic,12,4,4.2e-05
6,3,1,2,42,basic,basic,42,44,0.000238
8,3,1,4,88,basic,basic,88,642,0.002285
12,3,2,2,252,basic,basic,252,76,0.000299
10,3,2,0,150,basic,basic,150,16,0.000262
5,4,1,0,20,basic,basic,20,7,5.3e-05
14,3,2,4,378,basic,basic,378,3950,0.032392
6,4,1,1,36,basic,basic,36,46,0.000214
7,4,1,2,56,basic,basic,56,131,0.000374
8,4,1,3,80,basic,basic,80,670,0.00186
9,4,1,4,108,basic,basic,108,506,0.001409
6,5,1,0,30,basic,basic,30,11,7.7e-05
4,3,1,0,12,basic,minmax,12,4,4.7e-05
8,5,1,2,72,basic,basic,72,711,0.003987
6,3,1,2,42,basic,minmax,42,38,0.000353
8,3,1,4,88,basic,minmax,88,78,0.000902
10,3,2,0,150,basic,minmax,150,16,0.000248
12,3,2,2,252,basic,minmax,252,70,0.001059
14,3,2,4,378,basic,minmax,378,1300,0.072819
5,4,1,0,20,basic,minmax,20,7,7.9e-05
6,4,1,1,36,basic,minmax,36,46,0.000384
7,4,1,2,56,basic,minmax,56,119,0.001047
10,4,1,5,140,basic,basic,140,38126,0.228548
8,4,1,3,80,basic,minmax,80,390,0.004693
9,4,1,4,108,basic,minmax,108,83,0.002118
6,5,1,0,30,basic,minmax,30,11,0.000128
10,4,1,5,140,basic,minmax,140,938,0.023832
4,3,1,0,12,cycle,basic,12,4,3.4e-05
8,5,1,2,72,basic,minmax,72,684,0.012645
6,3,1,2,42,cycle,basic,42,23,8.1e-05
8,3,1,4,88,cycle,basic,88,407,0.001094
10,3,2,0,150,cycle,basic,150,16,9.9e-05
12,3,2,2,252,cycle,basic,252,130,0.000723
14,3,2,4,378,cycle,basic,378,3269,0.015076
5,4,1,0,20,cycle,basic,20,7,5.3e-05
6,4,1,1,36,cycle,basic,36,36,0.000139
7,4,1,2,56,cycle,basic,56,59,0.000198
8,4,1,3,80,cycle,basic,80,151,0.000476
9,4,1,4,108,cycle,basic,108,117,0.000364
10,4,1,5,140,cycle,basic,140,10044,0.087338
6,5,1,0,30,cycle,basic,30,11,7.7e-05
8,5,1,2,72,cycle,basic,72,309,0.000953
4,3,1,0,12,cycle,minmax,12,4,4.9e-05
6,3,1,2,42,cycle,minmax,42,22,0.000203
8,3,1,4,88,cycle,minmax,88,70,0.000831
10,3,2,0,150,cycle,minmax,150,16,0.000245
12,3,2,2,252,cycle,minmax,252,130,0.0035
14,3,2,4,378,cycle,minmax,378,1969,0.045151
16,3,2,6,528,cycle,minmax,528,22587,0.615819
5,4,1,0,20,cycle,minmax,20,7,8.2e-05
6,4,1,1,36,cycle,minmax,36,36,0.000312
7,4,1,2,56,cycle,minmax,56,58,0.000608
8,4,1,3,80,cycle,minmax,80,101,0.001094
9,4,1,4,108,cycle,minmax,108,37,0.000553
10,4,1,5,140,cycle,minmax,140,520,0.007558
6,5,1,0,30,cycle,minmax,30,11,0.000124
8,5,1,2,72,cycle,minmax,72,308,0.003059
4,3,1,0,12,stree,basic,12,4,4.5e-05
6,3,1,2,42,stree,basic,42,9,5.3e-05
8,3,1,4,88,stree,basic,88,16,7e-05
10,3,2,0,150,stree,basic,150,16,8.7e-05
12,3,2,2,252,stree,basic,252,27,0.000107
14,3,2,4,378,stree,basic,378,58,0.000222
16,3,2,6,528,stree,basic,528,184,0.000691
5,4,1,0,20,stree,basic,20,7,6e-05
6,4,1,1,36,stree,basic,36,23,0.000102
7,4,1,2,56,stree,basic,56,45,0.000159
8,4,1,3,80,stree,basic,80,19,8.9e-05
9,4,1,4,108,stree,basic,108,38,0.000147
10,4,1,5,140,stree,basic,140,45,0.000168
6,5,1,0,30,stree,basic,30,11,8.9e-05
8,5,1,2,72,stree,basic,72,224,0.000777
4,3,1,0,12,stree,minmax,12,4,5.7e-05
6,3,1,2,42,stree,minmax,42,9,0.000106
8,3,1,4,88,stree,minmax,88,15,0.0002
10,3,2,0,150,stree,minmax,150,16,0.000275
12,3,2,2,252,stree,minmax,252,27,0.000442
14,3,2,4,378,stree,minmax,378,51,0.000896
16,3,2,6,528,stree,minmax,528,69,0.001414
5,4,1,0,20,stree,minmax,20,7,9e-05
6,4,1,1,36,stree,minmax,36,23,0.000226
7,4,1,2,56,stree,minmax,56,45,0.000425
8,4,1,3,80,stree,minmax,80,19,0.000255
9,4,1,4,108,stree,minmax,108,32,0.000428
10,4,1,5,140,stree,minmax,140,38,0.000572
6,5,1,0,30,stree,minmax,30,11,0.000136
8,5,1,2,72,stree,minmax,72,224,0.002133
4,3,1,0,12,basic,basic,12,4,6.8e-05
6,3,1,2,42,basic,basic,42,44,0.000135
8,3,1,4,88,basic,basic,88,642,0.00174
10,3,2,0,150,basic,basic,150,16,9.7e-05
12,3,2,2,252,basic,basic,252,76,0.000237
14,3,2,4,378,basic,basic,378,3950,0.020765
16,3,2,6,528,cycle,basic,528,309137,1.12967
5,4,1,0,20,basic,basic,20,7,5.3e-05
6,4,1,1,36,basic,basic,36,46,0.000162
7,4,1,2,56,basic,basic,56,131,0.000373
8,4,1,3,80,basic,basic,80,670,0.001725
9,4,1,4,108,basic,basic,108,506,0.00138
10,4,1,5,140,basic,basic,140,38126,0.226924
6,5,1,0,30,basic,basic,30,11,8.1e-05
8,5,1,2,72,basic,basic,72,711,0.002138
