n,d,Q,R,sspl_lb,bdr,mgr,sspl,node,time
4,3,1,0,12,basic,basic,12,4,7.5e-05
10,3,2,0,150,basic,basic,150,16,7.2e-05
6,3,1,2,42,basic,basic,42,44,0.00023
12,3,2,2,252,basic,basic,252,76,0.000291
8,3,1,4,88,basic,basic,88,642,0.00262
14,3,2,4,378,basic,basic,378,3950,0.023901
22,3,3,0,1122,basic,basic,0,9375,0.10076
24,3,3,2,1416,basic,basic,1416,92,0.000358
5,4,1,0,20,basic,basic,20,7,4.4e-05
6,4,1,1,36,basic,basic,36,46,0.000137
7,4,1,2,56,basic,basic,56,131,0.000341
8,4,1,3,80,basic,basic,80,670,0.001416
9,4,1,4,108,basic,basic,108,506,0.001128
10,4,1,5,140,basic,basic,140,38126,0.193526
6,5,1,0,30,basic,basic,30,11,8.9e-05
8,5,1,2,72,basic,basic,72,711,0.001696
4,3,1,0,12,basic,minmax,12,4,3.8e-05
6,3,1,2,42,basic,minmax,42,38,0.000278
8,3,1,4,88,basic,minmax,88,78,0.000747
10,3,2,0,150,basic,minmax,150,16,0.000204
12,3,2,2,252,basic,minmax,252,70,0.000862
14,3,2,4,378,basic,minmax,378,1300,0.05358
16,3,2,6,528,basic,minmax,528,76427,1.46934
16,3,2,6,528,basic,basic,528,4066148,11.8679
18,3,2,8,702,basic,minmax,702,5667420,121.749
22,3,3,0,1122,basic,minmax,0,6165,0.251787
24,3,3,2,1416,basic,minmax,1416,92,0.002854
5,4,1,0,20,basic,minmax,20,7,6.6e-05
6,4,1,1,36,basic,minmax,36,46,0.00033
7,4,1,2,56,basic,minmax,56,119,0.00091
8,4,1,3,80,basic,minmax,80,390,0.003285
9,4,1,4,108,basic,minmax,108,83,0.00092
10,4,1,5,140,basic,minmax,140,938,0.010342
6,5,1,0,30,basic,minmax,30,11,0.000103
8,5,1,2,72,basic,minmax,72,684,0.005351
4,3,1,0,12,cycle,basic,12,4,2.8e-05
6,3,1,2,42,cycle,basic,42,23,7e-05
8,3,1,4,88,cycle,basic,88,407,0.000862
10,3,2,0,150,cycle,basic,150,16,7.5e-05
12,3,2,2,252,cycle,basic,252,130,0.000328
