n,d,Q,R,sspl_lb,bdr,srt,sspl,node,time
6,3,1,2,42,basic,basic,42,44,0.000391
8,3,1,4,88,basic,basic,88,642,0.004763
4,3,1,0,12,basic,basic,12,4,3.9e-05
10,3,2,0,150,basic,basic,150,16,0.000284
12,3,2,2,252,basic,basic,252,76,0.000419
22,3,3,0,1122,basic,basic,0,9375,0.061556
24,3,3,2,1416,basic,basic,1416,92,0.000458
14,3,2,4,378,basic,basic,378,3950,0.045745
5,4,1,0,20,basic,basic,20,7,5.4e-05
6,4,1,1,36,basic,basic,36,46,0.000164
7,4,1,2,56,basic,basic,56,131,0.000774
26,3,3,4,1742,basic,basic,1742,6304,0.071422
8,4,1,3,80,basic,basic,80,670,0.003621
9,4,1,4,108,basic,basic,108,506,0.001406
10,4,1,5,140,basic,basic,140,38126,0.290441
11,4,1,6,176,basic,basic,176,797508,2.94907
6,5,1,0,30,basic,basic,30,11,7.7e-05
8,5,1,2,72,basic,basic,72,711,0.002158
10,5,1,4,130,basic,basic,130,12042,0.060838
4,3,1,0,12,cycle,basic,12,4,3.8e-05
6,3,1,2,42,cycle,basic,42,23,8.6e-05
8,3,1,4,88,cycle,basic,88,407,0.00111
10,3,2,0,150,cycle,basic,150,16,8.7e-05
12,3,2,2,252,cycle,basic,252,130,0.000404
14,3,2,4,378,cycle,basic,378,3269,0.014994
16,3,2,6,528,cycle,basic,528,309137,1.14818
16,3,2,6,528,basic,basic,528,4066148,15.6769
22,3,3,0,1122,cycle,basic,0,9375,0.140842
24,3,3,2,1416,cycle,basic,1416,2205,0.009435
26,3,3,4,1742,cycle,basic,1742,423956,1.92865
5,4,1,0,20,cycle,basic,20,7,5.4e-05
6,4,1,1,36,cycle,basic,36,36,0.000178
7,4,1,2,56,cycle,basic,56,59,0.000225
8,4,1,3,80,cycle,basic,80,151,0.000472
9,4,1,4,108,cycle,basic,108,117,0.000366
10,4,1,5,140,cycle,basic,140,10044,0.086345
11,4,1,6,176,cycle,basic,176,233024,0.919612
12,4,1,7,216,cycle,basic,216,73562055,236.705
6,5,1,0,30,cycle,basic,30,11,7.9e-05
8,5,1,2,72,cycle,basic,72,309,0.000997
10,5,1,4,130,cycle,basic,130,1506,0.005549
4,3,1,0,12,cycle,sorted,12,4,3.7e-05
6,3,1,2,42,cycle,sorted,42,20,8e-05
8,3,1,4,88,cycle,sorted,88,116,0.000374
10,3,2,0,150,cycle,sorted,150,16,8.9e-05
12,3,2,2,252,cycle,sorted,252,60,0.000232
14,3,2,4,378,cycle,sorted,378,1765,0.005674
16,3,2,6,528,cycle,sorted,528,100368,0.54543
12,4,1,7,216,basic,basic,216,187884445,650.661
22,3,3,0,1122,cycle,sorted,0,9375,0.130681
24,3,3,2,1416,cycle,sorted,1416,469,0.002117
26,3,3,4,1742,cycle,sorted,1742,103024,0.51184
5,4,1,0,20,cycle,sorted,20,7,5.3e-05
6,4,1,1,36,cycle,sorted,36,44,0.000158
7,4,1,2,56,cycle,sorted,56,65,0.000269
8,4,1,3,80,cycle,sorted,80,248,0.000695
9,4,1,4,108,cycle,sorted,108,1004,0.002703
10,4,1,5,140,cycle,sorted,140,6015,0.022961
11,4,1,6,176,cycle,sorted,176,63018,0.324998
12,4,1,7,216,cycle,sorted,216,19447461,69.1352
6,5,1,0,30,cycle,sorted,30,11,8.1e-05
8,5,1,2,72,cycle,sorted,72,360,0.001104
10,5,1,4,130,cycle,sorted,130,7677,0.068836
18,3,2,8,702,cycle,sorted,702,224611351,941.709
18,3,2,8,702,cycle,basic,702,1651515146,5193.6
18,3,2,8,702,basic,basic,702,11377855243,37951
